"","tf","n","dist","avg","low","high","group"
"X901","CEBPB",5378,91,-0.175060922111884,-0.181575290165286,-0.168546554058481,"Nucleosome-SELEX"
"X911","CEBPB",5378,92,-0.186169951109674,-0.192537322287327,-0.179802579932021,"Nucleosome-SELEX"
"X921","CEBPB",5378,93,-0.193018393077407,-0.199277433961588,-0.186759352193226,"Nucleosome-SELEX"
"X931","CEBPB",5378,94,-0.209906171502828,-0.215984591972386,-0.20382775103327,"Nucleosome-SELEX"
"X941","CEBPB",5378,95,-0.219812841616357,-0.225791143120728,-0.213834540111987,"Nucleosome-SELEX"
"X951","CEBPB",5378,96,-0.232906063412427,-0.238881531086283,-0.226930595738572,"Nucleosome-SELEX"
"X961","CEBPB",5378,97,-0.24476954854812,-0.250618659216446,-0.238920437879794,"Nucleosome-SELEX"
"X971","CEBPB",5378,98,-0.238162300246199,-0.244034954284255,-0.232289646208143,"Nucleosome-SELEX"
"X02","CEBPB",25569,1,-0.397423034125659,-0.399192379884305,-0.395653688367012,"HT-SELEX"
"X112","CEBPB",25569,2,-0.410479637832259,-0.412210839762819,-0.408748435901699,"HT-SELEX"
"X212","CEBPB",25569,3,-0.411518275050622,-0.413263064716254,-0.409773485384989,"HT-SELEX"
"X312","CEBPB",25569,4,-0.399642263536826,-0.40139116550682,-0.397893361566832,"HT-SELEX"
"X412","CEBPB",25569,5,-0.396565850404285,-0.398385736876882,-0.394745963931688,"HT-SELEX"
"X512","CEBPB",25569,6,-0.370604112130088,-0.372495888807899,-0.368712335452277,"HT-SELEX"
"X612","CEBPB",25569,7,-0.354505367809702,-0.356450879540243,-0.352559856079161,"HT-SELEX"
"X712","CEBPB",25569,8,-0.335919352492729,-0.337966199760526,-0.333872505224933,"HT-SELEX"
"X812","CEBPB",25569,9,-0.322682569860363,-0.324823586835977,-0.320541552884749,"HT-SELEX"
"X99","CEBPB",25569,10,-0.305535668139244,-0.30778652600649,-0.303284810271999,"HT-SELEX"
"X102","CEBPB",25569,11,-0.298500248565025,-0.300871469731969,-0.296129027398081,"HT-SELEX"
"X113","CEBPB",25569,12,-0.285045102447312,-0.287519698481919,-0.282570506412705,"HT-SELEX"
"X122","CEBPB",25569,13,-0.270945742781734,-0.273572248319333,-0.268319237244135,"HT-SELEX"
"X132","CEBPB",25569,14,-0.260386494014091,-0.263085099524649,-0.257687888503533,"HT-SELEX"
"X142","CEBPB",25569,15,-0.246197498487835,-0.249017284580614,-0.243377712395056,"HT-SELEX"
"X152","CEBPB",25569,16,-0.23401683967825,-0.23688787313082,-0.231145806225679,"HT-SELEX"
"X162","CEBPB",25569,17,-0.220016554523989,-0.222956440224315,-0.217076668823663,"HT-SELEX"
"X172","CEBPB",25569,18,-0.21129493058801,-0.214263070228401,-0.208326790947619,"HT-SELEX"
"X182","CEBPB",25569,19,-0.198096902637676,-0.201101907956033,-0.195091897319319,"HT-SELEX"
"X192","CEBPB",25569,20,-0.192956864583695,-0.195967492070962,-0.189946237096427,"HT-SELEX"
"X202","CEBPB",25569,21,-0.184091971853283,-0.187132844576968,-0.181051099129597,"HT-SELEX"
"X213","CEBPB",25569,22,-0.176733059772796,-0.179818915342978,-0.173647204202613,"HT-SELEX"
"X222","CEBPB",25569,23,-0.171147181452622,-0.174261067506524,-0.168033295398721,"HT-SELEX"
"X232","CEBPB",25569,24,-0.162826560122814,-0.165981205521187,-0.15967191472444,"HT-SELEX"
"X242","CEBPB",25569,25,-0.157625726718123,-0.160791270827422,-0.154460182608824,"HT-SELEX"
"X252","CEBPB",25569,26,-0.154908788415749,-0.158074846189129,-0.151742730642368,"HT-SELEX"
"X262","CEBPB",25569,27,-0.15171690279253,-0.154875470579793,-0.148558335005267,"HT-SELEX"
"X272","CEBPB",25569,28,-0.148905401736339,-0.152051637852104,-0.145759165620574,"HT-SELEX"
"X282","CEBPB",25569,29,-0.151251898968032,-0.154393372822663,-0.1481104251134,"HT-SELEX"
"X292","CEBPB",25569,30,-0.149994244408727,-0.153126942920419,-0.146861545897034,"HT-SELEX"
"X302","CEBPB",25569,31,-0.15199165655381,-0.155121822571274,-0.148861490536345,"HT-SELEX"
"X313","CEBPB",25569,32,-0.152520706966998,-0.155654408345282,-0.149387005588714,"HT-SELEX"
"X322","CEBPB",25569,33,-0.15291665045215,-0.156053269086847,-0.149780031817454,"HT-SELEX"
"X332","CEBPB",25569,34,-0.153108899300272,-0.156246646980098,-0.149971151620446,"HT-SELEX"
"X342","CEBPB",25569,35,-0.152615082931528,-0.155751011880393,-0.149479153982662,"HT-SELEX"
"X352","CEBPB",25569,36,-0.152209538690918,-0.155346268262299,-0.149072809119537,"HT-SELEX"
"X362","CEBPB",25569,37,-0.151963676295627,-0.155098492902622,-0.148828859688632,"HT-SELEX"
"X372","CEBPB",25569,38,-0.152190626684951,-0.155324380665365,-0.149056872704538,"HT-SELEX"
"X382","CEBPB",25569,39,-0.152144630304027,-0.155276958528342,-0.149012302079713,"HT-SELEX"
"X392","CEBPB",25569,40,-0.152165731686712,-0.1553026139036,-0.149028849469824,"HT-SELEX"
"X402","CEBPB",25569,41,-0.151900022323424,-0.155037024970545,-0.148763019676302,"HT-SELEX"
"X413","CEBPB",25569,42,-0.152033897007279,-0.155162639396136,-0.148905154618422,"HT-SELEX"
"X422","CEBPB",25569,43,-0.151583528383551,-0.154721334485815,-0.148445722281288,"HT-SELEX"
"X432","CEBPB",25569,44,-0.151612973618402,-0.154748211668523,-0.148477735568282,"HT-SELEX"
"X442","CEBPB",25569,45,-0.151982552175659,-0.155115887867912,-0.148849216483406,"HT-SELEX"
"X452","CEBPB",25569,46,-0.152095081276274,-0.155229719306533,-0.148960443246015,"HT-SELEX"
"X462","CEBPB",25569,47,-0.152057257922528,-0.155194089068539,-0.148920426776517,"HT-SELEX"
"X472","CEBPB",25569,48,-0.152279657302044,-0.155412401718464,-0.149146912885624,"HT-SELEX"
"X482","CEBPB",25569,49,-0.152298499131406,-0.155431322631519,-0.149165675631293,"HT-SELEX"
"X492","CEBPB",25569,50,-0.152389483029932,-0.155518178047553,-0.149260788012311,"HT-SELEX"
"X502","CEBPB",25569,51,-0.152232174511083,-0.155356762362533,-0.149107586659633,"HT-SELEX"
"X513","CEBPB",25569,52,-0.15200548569936,-0.155131790006736,-0.148879181391984,"HT-SELEX"
"X522","CEBPB",25569,53,-0.151992305016775,-0.15511951942376,-0.14886509060979,"HT-SELEX"
"X532","CEBPB",25569,54,-0.152162991479072,-0.155295664510849,-0.149030318447295,"HT-SELEX"
"X542","CEBPB",25569,55,-0.152186621435575,-0.155319953696953,-0.149053289174197,"HT-SELEX"
