"","tf","n","dist","avg","low","high","group"
"X63148","GSX1",7500,64,-0.0674315089145288,-0.0742828887050633,-0.0605801291239943,"NCAP-SELEX"
"X64145","GSX1",7500,65,-0.0650384901875341,-0.0719042707217906,-0.0581727096532777,"NCAP-SELEX"
"X65145","GSX1",7500,66,-0.06190741342788,-0.0687859575770278,-0.0550288692787322,"NCAP-SELEX"
"X66145","GSX1",7500,67,-0.059060894518454,-0.0659513007619306,-0.0521704882749774,"NCAP-SELEX"
"X67145","GSX1",7500,68,-0.0578079919478005,-0.0647054220756855,-0.0509105618199156,"NCAP-SELEX"
"X68145","GSX1",7500,69,-0.0567304217755988,-0.063635776020505,-0.0498250675306926,"NCAP-SELEX"
"X69145","GSX1",7500,70,-0.0547798614841994,-0.0617025347375186,-0.0478571882308801,"NCAP-SELEX"
"X70145","GSX1",7500,71,-0.051259860089596,-0.0582322012631996,-0.0442875189159924,"NCAP-SELEX"
"X71184","GSX1",7500,72,-0.0488518675932633,-0.0558617874667244,-0.0418419477198022,"NCAP-SELEX"
"X72161","GSX1",7500,73,-0.0472200782108257,-0.0542699575869338,-0.0401701988347177,"NCAP-SELEX"
